assessment_id,Emp_ID,course_id,score_prct,method_of_assessment,assessment_date,ingest_timestamp,load_key
nan,E00013,C00050,71,Hands-on,2021-08-19,2026-07-07 23:12:34.816646,LCK_20260707_231234_XAJI0Y
nan,E00017,C00033,84,Applied Project Simulation,2023-03-28,2026-07-07 23:12:34.816646,LCK_20260707_231234_XAJI0Y
A00003,E00018,C00029,41,Hands-on,2026-02-09,2026-07-07 23:12:34.816646,LCK_20260707_231234_XAJI0Y
A00003,E00018,C00029,41,Hands-on,2026-02-09,2026-07-07 23:12:34.816646,LCK_20260707_231234_XAJI0Y
A00004,E00018,C00009,60,Hands-on,2021-12-23,2026-07-07 23:12:34.816646,LCK_20260707_231234_XAJI0Y
A00005,E00019,C00025,60,Hands-on,2023-01-24,2026-07-07 23:12:34.816646,LCK_20260707_231234_XAJI0Y
A00006,E00021,C00027,99,Applied Project Simulation,2024-10-27,2026-07-07 23:12:34.816646,LCK_20260707_231234_XAJI0Y
A00007,E00023,C00025,57,Hands-on,2023-11-09,2026-07-07 23:12:34.816646,LCK_20260707_231234_XAJI0Y
A00008,E00023,C00031,68,Hands-on,2022-08-06,2026-07-07 23:12:34.816646,LCK_20260707_231234_XAJI0Y
A00009,E00024,C00041,41,Applied Project Simulation,2024-07-05,2026-07-07 23:12:34.816646,LCK_20260707_231234_XAJI0Y
A00010,E00025,C00033,85,Applied Project Simulation,2023-05-22,2026-07-07 23:12:34.816646,LCK_20260707_231234_XAJI0Y
A00011,E00027,C00032,78,Client Interview,2021-06-07,2026-07-07 23:12:34.816646,LCK_20260707_231234_XAJI0Y
A00012,E00028,C00024,77,Competency,2022-09-20,2026-07-07 23:12:34.816646,LCK_20260707_231234_XAJI0Y
A00013,E00029,C00010,84,Competency,2026-04-17,2026-07-07 23:12:34.816646,LCK_20260707_231234_XAJI0Y
A00014,E00030,C00014,67,Competency,2022-08-11,2026-07-07 23:12:34.816646,LCK_20260707_231234_XAJI0Y
A00015,E00031,C00029,62,Hands-on,2025-07-17,2026-07-07 23:12:34.816646,LCK_20260707_231234_XAJI0Y
A00016,E00039,C00045,86,Client Interview,2023-10-14,2026-07-07 23:12:34.816646,LCK_20260707_231234_XAJI0Y
A00017,E00041,C00043,76,Applied Project Simulation,2025-04-17,2026-07-07 23:12:34.816646,LCK_20260707_231234_XAJI0Y
A00018,E00041,C00047,76,Client Interview,2025-08-15,2026-07-07 23:12:34.816646,LCK_20260707_231234_XAJI0Y
A00019,E00046,C00031,41,Competency,2022-04-08,2026-07-07 23:12:34.816646,LCK_20260707_231234_XAJI0Y
A00020,E00048,C00038,65,Hands-on,2021-05-04,2026-07-07 23:12:34.816646,LCK_20260707_231234_XAJI0Y
A00021,E00049,C00024,62,Hands-on,2022-11-03,2026-07-07 23:12:34.816646,LCK_20260707_231234_XAJI0Y
A00022,E00050,C00025,76,Hands-on,2022-10-13,2026-07-07 23:12:34.816646,LCK_20260707_231234_XAJI0Y
A00023,E00053,C00010,57,Client Interview,2025-10-30,2026-07-07 23:12:34.816646,LCK_20260707_231234_XAJI0Y
A00024,E00057,C00017,54,Competency,2025-06-14,2026-07-07 23:12:34.816646,LCK_20260707_231234_XAJI0Y
A00025,E00058,C00047,79,Competency,2025-10-23,2026-07-07 23:12:34.816646,LCK_20260707_231234_XAJI0Y
A00026,E00058,C00017,41,Applied Project Simulation,2024-12-29,2026-07-07 23:12:34.816646,LCK_20260707_231234_XAJI0Y
A00027,E00059,C00025,80,Applied Project Simulation,2023-04-09,2026-07-07 23:12:34.816646,LCK_20260707_231234_XAJI0Y
A00028,E00059,C00013,94,Applied Project Simulation,2026-01-01,2026-07-07 23:12:34.816646,LCK_20260707_231234_XAJI0Y
A00029,E00061,C00022,52,Competency,2026-05-28,2026-07-07 23:12:34.816646,LCK_20260707_231234_XAJI0Y
A00030,E00062,C00025,95,Applied Project Simulation,2022-09-29,2026-07-07 23:12:34.816646,LCK_20260707_231234_XAJI0Y
A00031,E00063,C00045,81,Competency,2024-08-02,2026-07-07 23:12:34.816646,LCK_20260707_231234_XAJI0Y
A00032,E00068,C00014,83,Competency,2024-02-03,2026-07-07 23:12:34.816646,LCK_20260707_231234_XAJI0Y
A00033,E00070,C00050,93,Applied Project Simulation,2021-04-29,2026-07-07 23:12:34.816646,LCK_20260707_231234_XAJI0Y
A00034,E00072,C00022,76,Hands-on,2026-02-22,2026-07-07 23:12:34.816646,LCK_20260707_231234_XAJI0Y
A00035,E00073,C00007,53,Client Interview,2025-10-25,2026-07-07 23:12:34.816646,LCK_20260707_231234_XAJI0Y
A00036,E00073,C00006,77,Hands-on,2022-06-22,2026-07-07 23:12:34.816646,LCK_20260707_231234_XAJI0Y
A00037,E00074,C00041,40,Hands-on,2024-06-11,2026-07-07 23:12:34.816646,LCK_20260707_231234_XAJI0Y
A00038,E00076,C00021,74,Hands-on,2024-09-06,2026-07-07 23:12:34.816646,LCK_20260707_231234_XAJI0Y
A00039,E00077,C00025,86,Hands-on,2023-02-21,2026-07-07 23:12:34.816646,LCK_20260707_231234_XAJI0Y
A00040,E00078,C00043,49,Hands-on,2024-09-23,2026-07-07 23:12:34.816646,LCK_20260707_231234_XAJI0Y
A00041,E00080,C00027,71,Hands-on,2021-09-26,2026-07-07 23:12:34.816646,LCK_20260707_231234_XAJI0Y
A00042,E00083,C00045,90,Client Interview,2024-05-01,2026-07-07 23:12:34.816646,LCK_20260707_231234_XAJI0Y
A00043,E00083,C00013,92,Client Interview,2026-02-18,2026-07-07 23:12:34.816646,LCK_20260707_231234_XAJI0Y
A00044,E00084,C00010,47,Competency,2025-10-04,2026-07-07 23:12:34.816646,LCK_20260707_231234_XAJI0Y
A00045,E00084,C00040,51,Hands-on,2023-10-02,2026-07-07 23:12:34.816646,LCK_20260707_231234_XAJI0Y
A00046,E00085,C00038,80,Hands-on,2024-05-12,2026-07-07 23:12:34.816646,LCK_20260707_231234_XAJI0Y
A00047,E00087,C00041,77,Applied Project Simulation,2024-03-24,2026-07-07 23:12:34.816646,LCK_20260707_231234_XAJI0Y
A00048,E00088,C00013,93,Hands-on,2026-01-04,2026-07-07 23:12:34.816646,LCK_20260707_231234_XAJI0Y
A00049,E00088,C00003,94,Applied Project Simulation,2024-03-26,2026-07-07 23:12:34.816646,LCK_20260707_231234_XAJI0Y
A00050,E00089,C00031,71,Client Interview,2022-04-26,2026-07-07 23:12:34.816646,LCK_20260707_231234_XAJI0Y
A00051,E00094,C00001,82,Client Interview,2023-06-06,2026-07-07 23:12:34.816646,LCK_20260707_231234_XAJI0Y
A00052,E00098,C00006,76,Applied Project Simulation,2021-11-24,2026-07-07 23:12:34.816646,LCK_20260707_231234_XAJI0Y
A00053,E00101,C00049,91,Competency,2024-06-07,2026-07-07 23:12:34.816646,LCK_20260707_231234_XAJI0Y
A00054,E00102,C00026,56,Client Interview,2025-06-09,2026-07-07 23:12:34.816646,LCK_20260707_231234_XAJI0Y
A00055,E00104,C00025,47,Competency,2023-02-06,2026-07-07 23:12:34.816646,LCK_20260707_231234_XAJI0Y
A00056,E00104,C00028,77,Hands-on,2024-08-19,2026-07-07 23:12:34.816646,LCK_20260707_231234_XAJI0Y
A00057,E00108,C00040,76,Client Interview,2022-05-31,2026-07-07 23:12:34.816646,LCK_20260707_231234_XAJI0Y
A00058,E00109,C00025,85,Hands-on,2023-12-10,2026-07-07 23:12:34.816646,LCK_20260707_231234_XAJI0Y
A00059,E00109,C00007,84,Applied Project Simulation,2026-05-13,2026-07-07 23:12:34.816646,LCK_20260707_231234_XAJI0Y
A00060,E00111,C00032,64,Competency,2021-10-07,2026-07-07 23:12:34.816646,LCK_20260707_231234_XAJI0Y
A00061,E00117,C00022,45,Client Interview,2026-04-09,2026-07-07 23:12:34.816646,LCK_20260707_231234_XAJI0Y
A00062,E00118,C00020,79,Applied Project Simulation,2023-12-08,2026-07-07 23:12:34.816646,LCK_20260707_231234_XAJI0Y
A00063,E00120,C00024,51,Client Interview,2022-11-02,2026-07-07 23:12:34.816646,LCK_20260707_231234_XAJI0Y
A00064,E00123,C00049,89,Applied Project Simulation,2024-09-22,2026-07-07 23:12:34.816646,LCK_20260707_231234_XAJI0Y
A00065,E00125,C00027,93,Client Interview,2022-03-18,2026-07-07 23:12:34.816646,LCK_20260707_231234_XAJI0Y
A00066,E00127,C00015,92,Competency,2025-11-17,2026-07-07 23:12:34.816646,LCK_20260707_231234_XAJI0Y
A00067,E00128,C00022,41,Applied Project Simulation,2025-03-20,2026-07-07 23:12:34.816646,LCK_20260707_231234_XAJI0Y
A00068,E00131,C00017,56,Competency,2025-10-01,2026-07-07 23:12:34.816646,LCK_20260707_231234_XAJI0Y
A00069,E00132,C00029,71,Applied Project Simulation,2026-06-14,2026-07-07 23:12:34.816646,LCK_20260707_231234_XAJI0Y
A00070,E00132,C00035,94,Hands-on,2025-04-11,2026-07-07 23:12:34.816646,LCK_20260707_231234_XAJI0Y
A00071,E00134,C00023,98,Client Interview,2024-04-19,2026-07-07 23:12:34.816646,LCK_20260707_231234_XAJI0Y
A00072,E00134,C00025,81,Competency,2022-08-29,2026-07-07 23:12:34.816646,LCK_20260707_231234_XAJI0Y
A00073,E00136,C00046,85,Competency,2023-07-26,2026-07-07 23:12:34.816646,LCK_20260707_231234_XAJI0Y
A00074,E00137,C00035,42,Applied Project Simulation,2024-10-30,2026-07-07 23:12:34.816646,LCK_20260707_231234_XAJI0Y
A00075,E00141,C00025,82,Client Interview,2023-12-04,2026-07-07 23:12:34.816646,LCK_20260707_231234_XAJI0Y
A00076,E00142,C00031,94,Client Interview,2021-11-16,2026-07-07 23:12:34.816646,LCK_20260707_231234_XAJI0Y
A00077,E00142,C00014,71,Competency,2021-12-03,2026-07-07 23:12:34.816646,LCK_20260707_231234_XAJI0Y
A00078,E00143,C00002,77,Hands-on,2021-05-11,2026-07-07 23:12:34.816646,LCK_20260707_231234_XAJI0Y
A00079,E00148,C00047,80,Client Interview,2025-11-11,2026-07-07 23:12:34.816646,LCK_20260707_231234_XAJI0Y
A00080,E00148,C00018,88,Client Interview,2024-08-31,2026-07-07 23:12:34.816646,LCK_20260707_231234_XAJI0Y
A00081,E00149,C00023,82,Hands-on,2024-08-04,2026-07-07 23:12:34.816646,LCK_20260707_231234_XAJI0Y
A00082,E00157,C00040,74,Applied Project Simulation,2022-09-27,2026-07-07 23:12:34.816646,LCK_20260707_231234_XAJI0Y
A00083,E00158,C00028,100,Client Interview,2025-07-23,2026-07-07 23:12:34.816646,LCK_20260707_231234_XAJI0Y
A00084,E00159,C00035,55,Competency,2021-05-07,2026-07-07 23:12:34.816646,LCK_20260707_231234_XAJI0Y
A00085,E00160,C00041,61,Client Interview,2024-01-27,2026-07-07 23:12:34.816646,LCK_20260707_231234_XAJI0Y
A00086,E00165,C00033,84,Competency,2022-12-15,2026-07-07 23:12:34.816646,LCK_20260707_231234_XAJI0Y
A00087,E00167,C00027,80,Applied Project Simulation,2025-04-21,2026-07-07 23:12:34.816646,LCK_20260707_231234_XAJI0Y
A00088,E00169,C00031,87,Applied Project Simulation,2021-11-19,2026-07-07 23:12:34.816646,LCK_20260707_231234_XAJI0Y
A00089,E00169,C00004,48,Hands-on,2025-12-28,2026-07-07 23:12:34.816646,LCK_20260707_231234_XAJI0Y
A00090,E00172,C00044,90,Client Interview,2025-05-27,2026-07-07 23:12:34.816646,LCK_20260707_231234_XAJI0Y
A00091,E00172,C00019,71,Client Interview,2026-01-31,2026-07-07 23:12:34.816646,LCK_20260707_231234_XAJI0Y
A00092,E00174,C00007,61,Competency,2026-03-29,2026-07-07 23:12:34.816646,LCK_20260707_231234_XAJI0Y
A00093,E00175,C00027,74,Client Interview,2022-08-26,2026-07-07 23:12:34.816646,LCK_20260707_231234_XAJI0Y
A00094,E00178,C00046,60,Competency,2024-02-13,2026-07-07 23:12:34.816646,LCK_20260707_231234_XAJI0Y
A00095,E00178,C00028,98,Client Interview,2024-08-17,2026-07-07 23:12:34.816646,LCK_20260707_231234_XAJI0Y
A00096,E00179,C00041,44,Client Interview,2024-10-27,2026-07-07 23:12:34.816646,LCK_20260707_231234_XAJI0Y
A00097,E00180,C00041,68,Competency,2024-08-19,2026-07-07 23:12:34.816646,LCK_20260707_231234_XAJI0Y
A00098,E00181,C00009,48,Applied Project Simulation,2021-12-17,2026-07-07 23:12:34.816646,LCK_20260707_231234_XAJI0Y
A00099,E00186,C00013,59,Competency,2025-08-06,2026-07-07 23:12:34.816646,LCK_20260707_231234_XAJI0Y
A00100,E00186,C00048,85,Client Interview,2026-04-13,2026-07-07 23:12:34.816646,LCK_20260707_231234_XAJI0Y
A00101,E00187,C00016,81,Applied Project Simulation,2021-04-14,2026-07-07 23:12:34.816646,LCK_20260707_231234_XAJI0Y
A00102,E00189,C00016,55,Applied Project Simulation,2021-03-12,2026-07-07 23:12:34.816646,LCK_20260707_231234_XAJI0Y
A00103,E00192,C00030,100,Client Interview,2023-10-29,2026-07-07 23:12:34.816646,LCK_20260707_231234_XAJI0Y
A00104,E00196,C00026,72,Applied Project Simulation,2024-11-16,2026-07-07 23:12:34.816646,LCK_20260707_231234_XAJI0Y
A00105,E00197,C00029,79,Applied Project Simulation,2026-06-04,2026-07-07 23:12:34.816646,LCK_20260707_231234_XAJI0Y
