enrollment_id,Emp_ID,course_id,enrollment_date,training_provider,course_status,ingest_timestamp,load_key
En00785,E00501,C00047,2025-10-26,T0026,Cancelled,2026-07-07 23:11:49.536755,LCK_20260707_231149_XAJI0Y
En00786,E00502,C00015,2025-07-26,T0053,Completed,2026-07-07 23:11:49.536755,LCK_20260707_231149_XAJI0Y
En00787,E00502,C00040,2022-06-21,T0194,Completed,2026-07-07 23:11:49.536755,LCK_20260707_231149_XAJI0Y
En00788,E00503,C00025,2023-09-13,T0017,In Progress,2026-07-07 23:11:49.536755,LCK_20260707_231149_XAJI0Y
En00789,E00503,C00028,2023-12-15,T0072,Enrolled,2026-07-07 23:11:49.536755,LCK_20260707_231149_XAJI0Y
En00790,E00504,C00046,2024-07-12,T0070,In Progress,2026-07-07 23:11:49.536755,LCK_20260707_231149_XAJI0Y
En00791,E00504,C00041,2024-07-06,T0063,Completed,2026-07-07 23:11:49.536755,LCK_20260707_231149_XAJI0Y
En00792,E00505,C00038,2021-02-25,T0117,Completed,2026-07-07 23:11:49.536755,LCK_20260707_231149_XAJI0Y
En00793,E00506,C00026,2024-08-24,T0087,Enrolled,2026-07-07 23:11:49.536755,LCK_20260707_231149_XAJI0Y
En00794,E00508,C00030,2023-11-03,T0135,Completed,2026-07-07 23:11:49.536755,LCK_20260707_231149_XAJI0Y
En00795,E00508,C00014,2021-07-22,T0149,Completed,2026-07-07 23:11:49.536755,LCK_20260707_231149_XAJI0Y
En00796,E00509,C00034,2022-11-10,T0105,In Progress,2026-07-07 23:11:49.536755,LCK_20260707_231149_XAJI0Y
En00797,E00510,C00013,2025-12-22,T0126,Cancelled,2026-07-07 23:11:49.536755,LCK_20260707_231149_XAJI0Y
En00798,E00510,C00044,2025-01-20,T0182,Completed,2026-07-07 23:11:49.536755,LCK_20260707_231149_XAJI0Y
En00799,E00511,C00039,2023-09-13,T0170,Completed,2026-07-07 23:11:49.536755,LCK_20260707_231149_XAJI0Y
En00800,E00511,C00017,2024-12-03,T0180,Cancelled,2026-07-07 23:11:49.536755,LCK_20260707_231149_XAJI0Y
En00801,E00511,C00018,2023-01-22,T0025,Completed,2026-07-07 23:11:49.536755,LCK_20260707_231149_XAJI0Y
En00802,E00512,C00020,2023-08-28,T0076,Enrolled,2026-07-07 23:11:49.536755,LCK_20260707_231149_XAJI0Y
En00803,E00512,C00005,2025-04-10,T0004,Enrolled,2026-07-07 23:11:49.536755,LCK_20260707_231149_XAJI0Y
