trainer_id,course_id,training_start_date,training_end_date,ingest_timestamp,load_key
T00201,C00009,04-10-2021,09-10-2021,2026-07-05 19:43:49.381694,LCK_20260705_194349_XAJI0Y
T00202,C00042,17-06-2022,27-06-2022,2026-07-05 19:43:49.381694,LCK_20260705_194349_XAJI0Y
T00203,C00014,28-09-2022,09-10-2022,2026-07-05 19:43:49.381694,LCK_20260705_194349_XAJI0Y
T00204,C00005,27-11-2024,08-12-2024,2026-07-05 19:43:49.381694,LCK_20260705_194349_XAJI0Y
T00205,C00050,27-05-2021,06-06-2021,2026-07-05 19:43:49.381694,LCK_20260705_194349_XAJI0Y
T00206,C00023,26-07-2024,07-08-2024,2026-07-05 19:43:49.381694,LCK_20260705_194349_XAJI0Y
T00207,C00009,12-09-2021,26-09-2021,2026-07-05 19:43:49.381694,LCK_20260705_194349_XAJI0Y
T00208,C00007,31-05-2026,04-06-2026,2026-07-05 19:43:49.381694,LCK_20260705_194349_XAJI0Y
T00209,C00027,17-10-2021,22-10-2021,2026-07-05 19:43:49.381694,LCK_20260705_194349_XAJI0Y
T00210,C00006,27-09-2021,11-10-2021,2026-07-05 19:43:49.381694,LCK_20260705_194349_XAJI0Y
T00211,C00010,15-09-2025,22-09-2025,2026-07-05 19:43:49.381694,LCK_20260705_194349_XAJI0Y
T00212,C00008,04-11-2024,12-11-2024,2026-07-05 19:43:49.381694,LCK_20260705_194349_XAJI0Y
T00213,C00009,15-02-2022,26-02-2022,2026-07-05 19:43:49.381694,LCK_20260705_194349_XAJI0Y
T00214,C00021,14-06-2024,25-06-2024,2026-07-05 19:43:49.381694,LCK_20260705_194349_XAJI0Y
T00215,C00025,07-05-2023,10-05-2023,2026-07-05 19:43:49.381694,LCK_20260705_194349_XAJI0Y
T00216,C00034,18-03-2022,02-04-2022,2026-07-05 19:43:49.381694,LCK_20260705_194349_XAJI0Y
T00217,C00029,30-12-2025,03-01-2026,2026-07-05 19:43:49.381694,LCK_20260705_194349_XAJI0Y
T00218,C00039,25-11-2023,05-12-2023,2026-07-05 19:43:49.381694,LCK_20260705_194349_XAJI0Y
T00219,C00049,29-09-2023,10-10-2023,2026-07-05 19:43:49.381694,LCK_20260705_194349_XAJI0Y
T00220,C00010,17-05-2025,28-05-2025,2026-07-05 19:43:49.381694,LCK_20260705_194349_XAJI0Y
T00221,C00029,07-09-2025,13-09-2025,2026-07-05 19:43:49.381694,LCK_20260705_194349_XAJI0Y
T00222,C00040,10-06-2022,22-06-2022,2026-07-05 19:43:49.381694,LCK_20260705_194349_XAJI0Y
T00223,C00003,23-08-2023,05-09-2023,2026-07-05 19:43:49.381694,LCK_20260705_194349_XAJI0Y
T00224,C00042,19-06-2022,26-06-2022,2026-07-05 19:43:49.381694,LCK_20260705_194349_XAJI0Y
T00225,C00014,30-09-2022,11-10-2022,2026-07-05 19:43:49.381694,LCK_20260705_194349_XAJI0Y
T00226,C00026,10-05-2024,20-05-2024,2026-07-05 19:43:49.381694,LCK_20260705_194349_XAJI0Y
T00227,C00019,27-07-2025,07-08-2025,2026-07-05 19:43:49.381694,LCK_20260705_194349_XAJI0Y
T00228,C00020,25-07-2024,31-07-2024,2026-07-05 19:43:49.381694,LCK_20260705_194349_XAJI0Y
T00229,C00022,12-03-2026,26-03-2026,2026-07-05 19:43:49.381694,LCK_20260705_194349_XAJI0Y
T00230,C00042,08-01-2023,15-01-2023,2026-07-05 19:43:49.381694,LCK_20260705_194349_XAJI0Y
T00231,C00012,03-06-2022,11-06-2022,2026-07-05 19:43:49.381694,LCK_20260705_194349_XAJI0Y
T00232,C00017,24-12-2025,05-01-2026,2026-07-05 19:43:49.381694,LCK_20260705_194349_XAJI0Y
T00233,C00012,17-06-2022,26-06-2022,2026-07-05 19:43:49.381694,LCK_20260705_194349_XAJI0Y
T00234,C00021,23-06-2024,06-07-2024,2026-07-05 19:43:49.381694,LCK_20260705_194349_XAJI0Y
T00235,C00035,29-10-2021,11-11-2021,2026-07-05 19:43:49.381694,LCK_20260705_194349_XAJI0Y
T00236,C00007,12-07-2026,21-07-2026,2026-07-05 19:43:49.381694,LCK_20260705_194349_XAJI0Y
T00237,C00006,26-12-2021,07-01-2022,2026-07-05 19:43:49.381694,LCK_20260705_194349_XAJI0Y
T00238,C00050,03-10-2020,13-10-2020,2026-07-05 19:43:49.381694,LCK_20260705_194349_XAJI0Y
T00239,C00008,24-08-2024,27-08-2024,2026-07-05 19:43:49.381694,LCK_20260705_194349_XAJI0Y
T00240,C00046,02-06-2024,07-06-2024,2026-07-05 19:43:49.381694,LCK_20260705_194349_XAJI0Y
T00241,C00041,06-09-2024,09-09-2024,2026-07-05 19:43:49.381694,LCK_20260705_194349_XAJI0Y
T00242,C00018,16-09-2022,19-09-2022,2026-07-05 19:43:49.381694,LCK_20260705_194349_XAJI0Y
T00243,C00042,04-01-2023,14-01-2023,2026-07-05 19:43:49.381694,LCK_20260705_194349_XAJI0Y
T00244,C00004,05-12-2025,10-12-2025,2026-07-05 19:43:49.381694,LCK_20260705_194349_XAJI0Y
T00245,C00050,13-10-2020,27-10-2020,2026-07-05 19:43:49.381694,LCK_20260705_194349_XAJI0Y
T00246,C00037,16-12-2025,31-12-2025,2026-07-05 19:43:49.381694,LCK_20260705_194349_XAJI0Y
T00247,C00035,21-11-2021,01-12-2021,2026-07-05 19:43:49.381694,LCK_20260705_194349_XAJI0Y
