assessment_id,Emp_ID,course_id,score_prct,method_of_assessment,assessment_date
A0276,E0502,C0015,87,Hands-on,2025-10-15
A0277,E0502,C0040,48,Client Interview,2022-07-19
A0278,E0504,C0041,82,Competency,2024-09-23
A0279,E0505,C0038,55,Competency,2021-03-16
A0280,E0508,C0030,86,Applied Project Simulation,2024-01-01
A0281,E0508,C0014,80,Hands-on,2021-08-14
A0282,E0510,C0044,78,Competency,2025-04-08
A0283,E0511,C0039,72,Hands-on,2023-10-11
A0284,E0511,C0018,73,Client Interview,2023-03-25
A0285,E0513,C0028,66,Applied Project Simulation,2024-02-04
A0286,E0517,C0021,90,Applied Project Simulation,2024-03-23
A0287,E0519,C0048,84,Hands-on,2025-12-11
A0288,E0520,C0010,84,Client Interview,2025-05-24
A0289,E0520,C0030,82,Hands-on,2023-06-24
A0290,E0521,C0030,74,Applied Project Simulation,2023-08-09
A0291,E0524,C0025,81,Hands-on,2022-06-09
A0292,E0524,C0028,83,Applied Project Simulation,2023-12-13
A0293,E0525,C0018,72,Applied Project Simulation,2023-02-24
A0294,E0525,C0026,89,Competency,2025-01-28
A0295,E0529,C0048,82,Client Interview,2026-05-14
A0296,E0530,C0017,86,Competency,2026-03-13
A0297,E0531,C0011,76,Hands-on,2024-01-25
A0298,E0532,C0021,96,Competency,2024-09-05
A0299,E0533,C0050,75,Applied Project Simulation,2021-09-28
A0300,E0534,C0027,82,Client Interview,2022-03-06
A0301,E0537,C0043,56,Applied Project Simulation,2025-01-24
A0302,E0538,C0031,91,Competency,2021-07-25
A0303,E0538,C0028,91,Applied Project Simulation,2024-01-06
A0304,E0540,C0025,83,Client Interview,2023-11-09
A0305,E0540,C0028,76,Hands-on,2024-08-17
A0306,E0541,C0030,46,Competency,2024-04-06
A0307,E0543,C0002,77,Client Interview,2020-11-07
A0308,E0544,C0024,83,Competency,2022-09-15
A0309,E0545,C0040,91,Hands-on,2022-03-03
A0310,E0545,C0025,95,Hands-on,2022-12-31
A0311,E0546,C0033,59,Hands-on,2023-04-04
A0312,E0549,C0047,80,Client Interview,2025-11-16
A0313,E0553,C0040,42,Competency,2022-06-18
A0314,E0556,C0041,94,Competency,2024-02-29
A0315,E0558,C0037,79,Client Interview,2026-02-08
A0316,E0560,C0045,74,Applied Project Simulation,2024-03-17
A0317,E0561,C0005,73,Client Interview,2025-06-22
A0318,E0564,C0014,93,Competency,2022-02-23
A0319,E0564,C0025,74,Applied Project Simulation,2023-04-25
A0320,E0569,C0043,71,Applied Project Simulation,2024-11-10
A0321,E0570,C0026,96,Hands-on,2024-11-22
A0322,E0571,C0032,58,Client Interview,2021-05-24
A0323,E0574,C0043,44,Competency,2025-08-01
A0324,E0576,C0007,72,Client Interview,2025-12-07
A0325,E0577,C0032,81,Hands-on,2021-07-18
A0326,E0578,C0018,45,Applied Project Simulation,2022-12-29
A0327,E0579,C0010,97,Hands-on,2025-11-03
A0328,E0579,C0024,73,Applied Project Simulation,2023-06-18
A0329,E0581,C0027,97,Applied Project Simulation,2022-03-22
A0330,E0583,C0025,98,Hands-on,2023-10-17
A0331,E0587,C0030,54,Hands-on,2023-08-26
A0332,E0588,C0040,93,Applied Project Simulation,2022-04-05
A0333,E0589,C0030,58,Competency,2023-08-29
A0334,E0589,C0011,62,Hands-on,2024-10-28
A0335,E0589,C0031,48,Client Interview,2021-09-29
A0336,E0591,C0024,48,Applied Project Simulation,2023-01-31
A0337,E0593,C0044,43,Hands-on,2025-07-07
A0338,E0596,C0025,69,Hands-on,2022-07-25
A0339,E0597,C0028,40,Applied Project Simulation,2024-06-01
A0340,E0598,C0032,80,Applied Project Simulation,2021-09-02
A0341,E0598,C0022,95,Client Interview,2025-04-05
A0342,E0598,C0014,76,Competency,2021-11-05
A0343,E0599,C0025,74,Competency,2022-07-14
A0344,E0600,C0033,80,Competency,2023-01-15
A0345,E0601,C0017,71,Applied Project Simulation,2024-08-05
A0346,E0602,C0032,53,Client Interview,2021-11-18
A0347,E0604,C0042,89,Applied Project Simulation,2022-05-31
A0348,E0605,C0007,64,Hands-on,2026-06-03
A0349,E0607,C0011,65,Applied Project Simulation,2024-03-15
A0350,E0611,C0025,75,Applied Project Simulation,2023-03-13
A0351,E0616,C0014,89,Competency,2021-10-22
A0352,E0617,C0044,90,Hands-on,2025-01-22
A0353,E0619,C0006,73,Client Interview,2021-12-17
A0354,E0619,C0024,83,Competency,2022-08-07
A0355,E0625,C0018,81,Hands-on,2022-11-11
A0356,E0625,C0011,46,Hands-on,2023-12-27
A0357,E0625,C0019,73,Applied Project Simulation,2026-05-21
A0358,E0630,C0040,71,Applied Project Simulation,2022-01-24
A0359,E0631,C0010,90,Competency,2026-02-18
A0360,E0632,C0022,59,Client Interview,2025-05-15
A0361,E0634,C0029,77,Hands-on,2025-04-17
A0362,E0634,C0038,87,Applied Project Simulation,2021-07-22
A0363,E0639,C0028,77,Hands-on,2024-02-09
A0364,E0642,C0003,75,Competency,2023-07-04
A0365,E0642,C0017,77,Applied Project Simulation,2024-08-30
A0366,E0643,C0050,42,Competency,2021-11-12
A0367,E0644,C0022,76,Competency,2026-05-03
A0368,E0645,C0025,63,Hands-on,2023-11-01
A0369,E0647,C0013,86,Client Interview,2026-01-18
A0370,E0648,C0025,83,Applied Project Simulation,2023-12-07
A0371,E0648,C0027,87,Client Interview,2022-04-28
A0372,E0649,C0025,56,Applied Project Simulation,2023-12-02
A0373,E0649,C0027,98,Client Interview,2022-04-28
A0374,E0653,C0033,50,Competency,2023-06-19
A0375,E0656,C0037,79,Competency,2025-07-21
A0376,E0657,C0008,88,Hands-on,2025-04-11
A0377,E0661,C0017,58,Hands-on,2026-04-28
A0378,E0661,C0002,62,Client Interview,2021-06-30
A0379,E0663,C0002,77,Applied Project Simulation,2020-10-10
A0380,E0664,C0021,68,Applied Project Simulation,2024-11-01
A0381,E0666,C0047,77,Client Interview,2025-11-16
