course_id,course_nm,course_mode,duration,course_start_date,course_end_date,minimum_level,ingest_timestamp,load_key
C00001,Python for Everybody,self_paced,33,2022-01-02 00:00:00,2023-08-03 00:00:00,12,2026-07-03 12:51:22.508817,LCK_20260703_125122_XAJI0Y
C00002,Advanced Python Programming,virtual,41,28-05-2020,2021-07-06 00:00:00,10,2026-07-03 12:51:22.508817,LCK_20260703_125122_XAJI0Y
C00003,Java Programming Masterclass,self_paced,43,16-05-2023,29-06-2024,11,2026-07-03 12:51:22.508817,LCK_20260703_125122_XAJI0Y
C00004,Modern JavaScript Bootcamp,in-person,28,2025-10-05 00:00:00,2026-05-06 00:00:00,11,2026-07-03 12:51:22.508817,LCK_20260703_125122_XAJI0Y
C00005,R for Data Analysis,in-person,37,2024-06-11 00:00:00,2025-06-12 00:00:00,11,2026-07-03 12:51:22.508817,LCK_20260703_125122_XAJI0Y
C00006,Data Analysis with Python,in-person,41,2021-07-04 00:00:00,15-04-2022,10,2026-07-03 12:51:22.508817,LCK_20260703_125122_XAJI0Y
C00007,SQL for Data Engineering,virtual,42,30-08-2025,2026-06-09 00:00:00,10,2026-07-03 12:51:22.508817,LCK_20260703_125122_XAJI0Y
C00008,Tableau for Data Visualization,self_paced,31,2024-09-01 00:00:00,2025-05-02 00:00:00,11,2026-07-03 12:51:22.508817,LCK_20260703_125122_XAJI0Y
C00009,Power BI for Business Analytics,self_paced,23,27-08-2021,2022-02-10 00:00:00,11,2026-07-03 12:51:22.508817,LCK_20260703_125122_XAJI0Y
C00010,Selenium WebDriver Automation,virtual,20,21-03-2025,29-04-2026,10,2026-07-03 12:51:22.508817,LCK_20260703_125122_XAJI0Y
C00011,Manual Software Testing Essentials,virtual,16,27-10-2023,2024-08-12 00:00:00,12,2026-07-03 12:51:22.508817,LCK_20260703_125122_XAJI0Y
C00012,Git and Version Control Mastery,virtual,48,23-06-2021,30-06-2022,12,2026-07-03 12:51:22.508817,LCK_20260703_125122_XAJI0Y
C00013,Software Architecture Fundamentals,virtual,29,29-05-2025,19-06-2026,8,2026-07-03 12:51:22.508817,LCK_20260703_125122_XAJI0Y
C00014,Ethical Hacking and Penetration Testing,in-person,8,2021-03-10 00:00:00,2022-03-11 00:00:00,8,2026-07-03 12:51:22.508817,LCK_20260703_125122_XAJI0Y
C00015,Linux Server Administration,virtual,23,2025-01-06 00:00:00,21-06-2026,9,2026-07-03 12:51:22.508817,LCK_20260703_125122_XAJI0Y
C00016,Windows Server Administration,self_paced,6,25-09-2020,2021-02-11 00:00:00,9,2026-07-03 12:51:22.508817,LCK_20260703_125122_XAJI0Y
C00017,Network Security Essentials,virtual,19,2024-04-12 00:00:00,2026-09-01 00:00:00,10,2026-07-03 12:51:22.508817,LCK_20260703_125122_XAJI0Y
