enrollment_id,Emp_ID,course_id,enrollment_date,training_provider,course_status
En00001,E0011,C0029,2026-03-07,T0009,Enrolled
En00002,E0011,C0044,2024-11-30,T0052,Enrolled
En00003,E0013,C0050,2021-08-14,T0021,Completed
En00004,E0013,C0024,2022-07-23,T0153,In Progress
En00005,E0013,C0045,2024-02-11,T0093,Cancelled
En00006,E0016,C0027,2021-10-30,T0158,In Progress
En00007,E0016,C0023,2024-03-05,T0134,Enrolled
En00008,E0017,C0021,2024-03-30,T0030,In Progress
En00009,E0017,C0033,2023-01-18,T0071,Completed
En00010,E0018,C0029,2026-02-03,T0024,Completed
En00011,E0018,C0009,2021-11-06,T0145,Completed
En00012,E0019,C0038,2021-08-03,T0176,Enrolled
En00013,E0019,C0025,2022-12-20,T0017,Completed
En00014,E0019,C0007,2025-12-25,T0014,Cancelled
En00015,E0020,C0039,2023-12-20,T0019,In Progress
En00016,E0021,C0027,2024-09-06,T0088,Completed
En00017,E0021,C0028,2024-09-06,T0150,In Progress
En00018,E0023,C0025,2023-10-25,T0012,Completed
En00019,E0023,C0031,2022-06-07,T0152,Completed
En00020,E0024,C0015,2025-10-06,T0123,Enrolled
En00021,E0024,C0041,2024-06-01,T0063,Completed
En00022,E0025,C0047,2025-09-30,T0109,Enrolled
En00023,E0025,C0033,2023-03-15,T0080,Completed
En00024,E0026,C0025,2022-12-15,T0012,In Progress
En00025,E0027,C0003,2024-03-01,T0083,Enrolled
En00026,E0027,C0032,2021-05-21,T0108,Completed
En00027,E0028,C0024,2022-07-30,T0097,Completed
En00028,E0029,C0030,2023-06-04,T0135,Enrolled
En00029,E0029,C0019,2025-09-14,T0065,Enrolled
En00030,E0029,C0010,2026-03-18,T0000,Completed
En00031,E0030,C0014,2022-05-29,T0013,Completed
En00032,E0031,C0029,2025-06-01,T0009,Completed
En00033,E0032,C0050,2021-04-30,T0021,In Progress
En00034,E0033,C0043,2024-09-29,T0137,Enrolled
En00035,E0034,C0033,2023-04-29,T0101,Cancelled
